marker,pvalue
Basophil_pNFkB_Unstim,0.380292847669709
Basophil_pNFkB_LPS,0.518585864918995
Basophil_pNFkB_IL246,0.348597634878121
Basophil_pNFkB_IL18,0.861965633643061
Basophil_pERK1-2_Unstim,0.399212491040103
Basophil_pERK1-2_LPS,0.0677480034422177
Basophil_pERK1-2_IL18,0.824440480214067
Basophil_pSTAT6_Unstim,0.657768275477805
Basophil_pSTAT6_IL246,0.162370155737913
Basophil_pPLCg1_Unstim,0.139697800470746
Basophil_pPLCg1_LPS,0.255468737109473
Basophil_pPLCg1_IL246,0.272555859192612
Basophil_pPLCg1_IL18,0.177333404759712
Basophil_CXCR4_Unstim,0.753695741443526
Basophil_CXCR4_LPS,0.194614266040038
Basophil_CXCR4_IL246,0.503170709872556
Basophil_CXCR4_IL18,0.389035085656987
Basophil_CD62L_Unstim,0.142941077087564
Basophil_CD62L_LPS,0.214572429173816
Basophil_CD62L_IL246,0.756733648750368
Basophil_CD62L_IL18,0.116682910645606
Basophil_HK2_Unstim,0.231258837850197
Basophil_HK2_LPS,0.253801909716629
Basophil_HK2_IL246,0.596381138792308
Basophil_HK2_IL18,0.352723921339142
Basophil_CD63_Unstim,0.179914950111726
Basophil_CD63_LPS,0.262212058050053
Basophil_CD63_IL246,0.135461898101841
Basophil_CD63_IL18,0.778101911119967
DC_VDAC1_Unstim,0.503170709872556
DC_VDAC1_LPS,0.380292847669709
DC_VDAC1_IL246,0.189170326219756
DC_VDAC1_IL18,0.182524319068546
DC_GLUT1_Unstim,0.397898550265352
DC_GLUT1_LPS,0.972897011293104
DC_GLUT1_IL246,0.83378773741967
DC_GLUT1_IL18,0.568960928235011
DC_CPT1a_Unstim,0.288588998308837
DC_CPT1a_LPS,0.711584447962303
DC_CPT1a_IL246,0.918815982187917
DC_CPT1a_IL18,0.560853883202473
DC_pCREB_Unstim,0.151872253875459
DC_pCREB_LPS,0.422892873590559
DC_pCREB_IL246,0.146241828508855
DC_pCREB_IL18,0.0736649516415017
DC_pSTAT5_Unstim,0.979272446320524
DC_pSTAT5_IL246,0.91564395944384
DC_pP38_Unstim,0.367647369684126
DC_pP38_LPS,0.890320310937095
DC_pP38_IL18,0.333619021228744
