Name,Location,HBCU,HSI,Admission_Rate,SAT,Undergraduates,Average_Total_Cost,Instructional_Expenditure,Faculty_Salary,Full_Time_Faculty,Pell_Grant,Retention_Rate,Federal_Loan,Default_Rate,Proportion_Men,Endowment
Fort Lewis College,Small Town,0,0,0.9151,1037,3630,23881,8848,7287,0.9844,0.4048,0.681,0.4236,0.095,0.4593,10.29
Metropolitan State University of Denver,Urban,0,1,0.8333,973,23557,19975,6444,7089,1,0.4094,0.6101,0.3001,0.068,0.4486,16.89
University of Northern Colorado,Urban,0,0,0.877,1099,11014,23864,9142,7742,0.6033,0.343,0.7015,0.5297,0.044,0.327,90.32
Colorado State University Pueblo,Urban,0,1,0.9431,1022,5663,21950,4787,7155,0.5225,0.4713,0.6826,0.7816,0.083,0.4626,22.47
Western Colorado University,Small Town,0,0,0.885,1110,3905,24194,10322,6627,0.7778,0.3267,0.6726,0.5622,0.058,0.5963,18.45
Central Connecticut State University,Suburban,0,0,0.6485,1062,10321,22518,13840,9860,0.4851,0.3915,0.7823,0.5725,0.057,0.5328,77.4
University of Connecticut,Suburban,0,0,0.5609,1294,20501,33896,21257,13183,0.6866,0.2078,0.9299,0.4153,0.02,0.4843,423.48
Delaware State University,Urban,1,0,0.3934,923,4727,23888,9871,8379,0.6364,0.5474,0.7389,0.7218,0.112,0.3182,22.27
University of Delaware,Suburban,0,0,0.6599,1254,21869,28708,22057,13194,0.9798,0.1882,0.897,0.5265,0.021,0.4217,1466.07
University of Central Florida,Suburban,0,1,0.4517,1261,68814,21309,7551,10848,0.9846,0.289,0.9215,0.2342,0.037,0.4484,162.82
Florida Agricultural and Mechanical University,Urban,1,0,0.3298,1101,8702,23312,8919,8264,0.9971,0.6487,0.8544,0.6646,0.076,0.3418,87.75
Florida Atlantic University,Urban,0,1,0.7478,1147,31632,21761,8341,9971,0.722,0.3823,0.8168,0.3321,0.044,0.4151,294.97
Florida International University,Suburban,0,1,0.5788,1190,61869,19384,6435,10886,0.9764,0.4973,0.9106,0.8479,0.044,0.4378,216.38
Florida State University,Urban,0,0,0.3245,1308,36789,22278,11221,11160,0.8499,0.2504,0.945,0.2435,0.028,0.4301,704.11
University of Florida,Urban,0,0,0.3113,1390,37975,21151,16571,11900,0.8803,0.2119,0.9734,0.1346,0.017,0.4338,1818.32
University of North Florida,Urban,0,0,0.7992,1144,17574,19469,6321,8226,0.9639,0.3352,0.8378,0.3259,0.034,0.4314,116.39
University of South Florida,Urban,0,0,0.4924,1256,45587,21134,10084,10465,0.7199,0.3073,0.9181,0.2513,0.033,0.4317,513.54
The University of West Florida,Urban,0,0,0.5756,1168,11802,17716,6427,9046,1,0.3161,0.8448,0.2514,0.052,0.425,60.68
College of Coastal Georgia,Urban,0,0,0.9594,1006,4355,18200,6904,6998,0.8239,0.4833,0.6378,0.4411,0.052,0.2984,8.39
Columbus State University,Urban,0,0,0.7832,1007,7798,19807,8459,7600,0.6452,0.5219,0.753,0.5719,0.06,0.3945,73.02
Georgia Institute of Technology-Main Campus,Urban,0,0,0.2134,1465,17602,29291,12188,13626,0.903,0.1107,0.967,0.2093,0.009,0.6014,2229.71
Georgia Southwestern State University,Small Town,0,0,0.734,1040,3012,19125,7066,7002,0.7173,0.5262,0.6623,0.5759,0.047,0.3412,39.08
Georgia College & State University,Small Town,0,0,0.8594,1194,6483,28707,6816,7952,0.8315,0.1821,0.8233,0.3886,0.034,0.3536,45.53
Georgia Southern University,Small Town,0,0,0.9117,1083,26067,22608,6628,8027,0.837,0.3789,0.7897,0.5272,0.053,0.4287,76.89
Georgia State University,Urban,0,0,0.8239,1147,32742,27206,5838,9420,0.796,0.5069,0.8066,0.4591,0.059,0.4026,182
University of Georgia,Urban,0,0,0.4838,1384,32702,27329,9982,11603,0.9269,0.1697,0.9444,0.2695,0.019,0.4219,1343.99
Savannah State University,Urban,1,0,0.4614,925,3956,16819,6167,7143,0.7788,0.712,0.6927,0.8368,0.165,0.3945,9.05
Valdosta State University,Urban,0,0,0.7845,1072,9956,20998,5315,7290,0.7191,0.565,0.727,0.5763,0.074,0.3427,51.11
University of West Georgia,Small Town,0,0,0.7762,1012,12131,23684,7933,7368,0.8098,0.5104,0.7282,0.5976,0.074,0.3482,34.44
University of Hawaii at Hilo,Small Town,0,0,0.7383,1046,3265,20440,16525,10646,0.8168,0.4406,0.7123,0.3858,0.083,0.3543,0.27
University of Hawaii at Manoa,Urban,0,0,0.8369,1181,15160,23405,25120,12581,0.8019,0.2598,0.8004,0.3398,0.035,0.4204,43.51
University of Hawaii-West Oahu,Suburban,0,0,0.9523,1012,4086,19914,13343,10041,0.5333,0.4145,0.7448,0.2642,0.038,0.3372,0.22
Boise State University,Urban,0,0,0.7749,1135,26736,21621,8023,8321,0.588,0.2385,0.7782,0.4119,0.043,0.4309,118.16
University of Idaho,Small Town,0,0,0.7444,1116,10568,21525,12959,9583,0.8877,0.3482,0.7675,0.4595,0.041,0.492,291.87
Lewis-Clark State College,Urban,0,0,0.9975,998,5291,16922,7971,6523,0.9727,0.4898,0.6119,0.5328,0.092,0.3471,8.6
Chicago State University,Urban,0,0,0.4642,887,2490,21867,20865,8118,0.9952,0.7403,0.5359,0.7845,0.087,0.2781,6.07
Eastern Illinois University,Small Town,0,0,0.5554,1058,7557,24125,10306,8611,0.7681,0.5706,0.7371,0.6911,0.061,0.3859,58.27
Governors State University,Rural,0,0,0.4784,956,3899,21549,12938,7570,0.4433,0.7029,0.5801,0.6234,0.062,0.3557,2.34
University of Illinois Chicago,Urban,0,1,0.7263,1159,23451,25831,27494,12448,0.7176,0.5727,0.8227,0.2851,0.025,0.4767,367.79
University of Illinois Urbana-Champaign,Urban,0,0,0.633,1352,36277,30302,15154,12731,0.7491,0.2821,0.9385,0.3581,0.023,0.537,1772.26
Illinois State University,Suburban,0,0,0.8131,1140,19798,31124,7980,8582,0.7796,0.3317,0.8417,0.5862,0.036,0.4339,144.35
Northeastern Illinois University,Urban,0,1,0.607,915,6822,24295,16855,8512,0.5561,0.7431,0.669,0.25,0.07,0.4114,12.42
University of Illinois Springfield,Urban,0,0,0.7733,1107,3125,24309,11609,8241,0.6615,0.4905,0.7398,0.5149,0.039,0.4795,18.62
