ID,Age,Gender,Religiosity,Race,Aware,Cheated,Total_Cheat
V093,9.953424658,Girl,6,Asian,0,0,1
V094,10.24383562,Boy,18,Asian,0,1,5
V095,7.906849315,Girl,17,Asian,0,0,0
V096,8.575342466,Girl,14,White,0,0,1
V098,11.39178082,Girl,2,White,NA,0,0
V099,9.049315068,Boy,4,White,0,0,2
V100,9.643835616,Boy,18,Other,0,0,0
V101,7.383561644,Boy,16,Other,0,1,5
V104,8.64109589,Girl,1,Other,0,0,1
V105,6.142465753,Girl,1,Other,0,0,1
V107,9.476712329,Boy,14,White,0,0,0
V108,6.145205479,Girl,13,White,0,1,5
V113,7.980821918,Girl,6,Asian,0,0,1
V114,10,Boy,14,Other,0,0,1
V115,8.328767123,Boy,14,Other,0,0,1
V116,5.123287671,Girl,13,Asian,0,0,3
V117,6.054794521,Boy,15,Other,0,0,5
V118,8.780821918,Boy,2,White,0,0,2
V119,8.04109589,Girl,0,Asian,0,0,1
V121,6.01369863,Boy,7,Asian,0,1,6
V122,6.156164384,Boy,2,White,0,1,2
V123,7.726027397,Boy,0,Asian,0,1,3
V125,7.120547945,Boy,11,White,0,0,2
V127,6.284931507,Girl,0,Asian,0,0,2
V128,6.397260274,Girl,5,White,0,0,5
V134,4.989041096,Boy,1,Other,0,1,5
V135,8.049315068,Girl,3,White,0,0,0
V141,9.726027397,Boy,13,Asian,0,0,1
V143,6.468493151,Boy,20,Other,0,1,5
V144,10.43561644,Boy,21,Asian,1,0,0
V146,7.180821918,Boy,21,Asian,0,0,1
V151,8.178082192,Boy,1,White,0,0,0
V154,7.55890411,Girl,14,White,0,1,4
V155,5.536986301,Boy,14,White,0,1,5
V159,8.8,Girl,14,Asian,0,0,0
V160,10.00547945,Girl,0,White,0,0,0
V161,8.252054795,Girl,0,White,0,0,1
V162,7.594520548,Boy,12,Asian,0,1,6
